DPX spectrum
Frecuencia (Hz),Amplitud (dBm)
1280000000.0,-64.6423568725586
1280080000.0,-63.55494689941406
1280160000.0,-62.45829391479492
1280240000.0,-61.388755798339844
1280320000.0,-60.37445068359375
1280400000.0,-59.435508728027344
1280480000.0,-58.58564376831055
1280560000.0,-57.8338508605957
1280640000.0,-57.185916900634766
1280720000.0,-56.645484924316406
1280800000.0,-56.214805603027344
1280880000.0,-55.89522933959961
1280960000.0,-55.68756866455078
1281040000.0,-55.59226608276367
1281120000.0,-55.60944366455078
1281200000.0,-55.73893356323242
1281280000.0,-55.98005676269531
1281360000.0,-56.3315544128418
1281440000.0,-56.791053771972656
1281520000.0,-57.354637145996094
1281600000.0,-58.016021728515625
1281680000.0,-58.76563262939453
1281760000.0,-59.589317321777344
1281840000.0,-60.467323303222656
1281920000.0,-61.37372970581055
1282000000.0,-62.277442932128906
1282080000.0,-63.14550018310547
1282160000.0,-63.94905471801758
1282240000.0,-64.67018127441406
1282320000.0,-65.3060073852539
1282400000.0,-65.86776733398438
1282480000.0,-66.37525177001953
1282560000.0,-66.84916687011719
1282640000.0,-67.30552673339844
1282720000.0,-67.75264739990234
1282800000.0,-68.19113159179688
1282880000.0,-68.61528778076172
1282960000.0,-69.01606750488281
1283040000.0,-69.38362884521484
1283120000.0,-69.71086120605469
1283200000.0,-69.99422454833984
1283280000.0,-70.23528289794922
1283360000.0,-70.4389419555664
1283440000.0,-70.61282348632812
1283520000.0,-70.76456451416016
1283600000.0,-70.9012451171875
1283680000.0,-71.02796936035156
1283760000.0,-71.14759826660156
1283840000.0,-71.26093292236328
1283920000.0,-71.36709594726562
1284000000.0,-71.46360778808594
1284080000.0,-71.54683685302734
1284160000.0,-71.61373901367188
1284240000.0,-71.66126251220703
1284320000.0,-71.68720245361328
1284400000.0,-71.6911849975586
1284480000.0,-71.67431640625
1284560000.0,-71.63921356201172
1284640000.0,-71.5898666381836
1284720000.0,-71.5311508178711
1284800000.0,-71.46836853027344
1284880000.0,-71.40680694580078
1284960000.0,-71.35124969482422
1285040000.0,-71.30563354492188
1285120000.0,-71.2730712890625
1285200000.0,-71.2550277709961
1285280000.0,-71.25218963623047
1285360000.0,-71.26354217529297
1285440000.0,-71.28700256347656
1285520000.0,-71.3188705444336
1285600000.0,-71.35486602783203
1285680000.0,-71.38978576660156
1285760000.0,-71.4180908203125
1285840000.0,-71.43466186523438
1285920000.0,-71.43505859375
1286000000.0,-71.41629028320312
1286080000.0,-71.37700653076172
1286160000.0,-71.31774139404297
1286240000.0,-71.24050903320312
1286320000.0,-71.14871215820312
1286400000.0,-71.04631805419922
1286480000.0,-70.93745422363281
1286560000.0,-70.8258056640625
1286640000.0,-70.71427917480469
1286720000.0,-70.60486602783203
1286800000.0,-70.49909973144531
1286880000.0,-70.39788055419922
1286960000.0,-70.30205535888672
1287040000.0,-70.21226501464844
1287120000.0,-70.12967681884766
1287200000.0,-70.05549621582031
1287280000.0,-69.99101257324219
1287360000.0,-69.93694305419922
1287440000.0,-69.89383697509766
1287520000.0,-69.86083984375
1287600000.0,-69.835693359375
1287680000.0,-69.81468963623047
1287760000.0,-69.7925033569336
1287840000.0,-69.76272583007812
1287920000.0,-69.71797180175781
1288000000.0,-69.65108489990234
1288080000.0,-69.55615234375
1288160000.0,-69.42904663085938
1288240000.0,-69.26856231689453
1288320000.0,-69.07618713378906
1288400000.0,-68.85603332519531
1288480000.0,-68.61376953125
1288560000.0,-68.3551025390625
1288640000.0,-68.08370208740234
1288720000.0,-67.79901123046875
1288800000.0,-67.49280548095703
1288880000.0,-67.14510345458984
1288960000.0,-66.72079467773438
1289040000.0,-66.16931915283203
1289120000.0,-65.43360900878906
1289200000.0,-64.47073364257812
1289280000.0,-63.27545166015625
1289360000.0,-61.888221740722656
1289440000.0,-60.379581451416016
1289520000.0,-58.82530975341797
